Iteration,Root Node Side Length,Input 0,Input 1,Input 2,Input 3,Input 4,Input 5,Input 6,Input 7,Input 8,Input 9,Input 10,Input 11,Input 12,Input 13,Input 14,Input 15,Input 16,Input 17,Input 18,Input 19,Input 20,Input 21,Input 22,Input 23,Input 24,Input 25,Input 26,Input 27,Input 28,Input 29,Input 30,Input 31,Input 32,Weight 0,Weight 1,Weight 2,Weight 3,Weight 4,Weight 5,Weight 6,Weight 7,Weight 8,Weight 9,Weight 10,Weight 11,Weight 12,Weight 13,Weight 14,Weight 15,Weight 16,Weight 17,Weight 18,Weight 19,Weight 20,Weight 21,Weight 22,Weight 23,Weight 24,Weight 25,Weight 26,Weight 27,Weight 28,Weight 29,Weight 30,Weight 31,Weight 32,Output Signal
27,100,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.40799,2.4854,12.0727,-1.60686,1.29282,0.753544,1.78844,0.944761,2.28206,12.6433,1.31167,0.919576,0.955892,0.620822,3.0966,2.62051,0.222732,0.655355,2.2413,1.81326,3.08283,0.405647,6.09237,3.45493,1.73027,0.286632,1.35534,0.584133,0.286896,1.9554,0.250941,2.42318,17.2211,1.20375
28,100,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.41401,2.41024,12.0727,-1.61288,1.29282,0.753544,1.78242,0.938741,2.28206,12.6433,1.31167,0.919576,0.955892,0.620822,3.0966,2.62051,0.222732,0.655355,2.2413,1.81326,3.08283,0.405647,6.09237,3.45493,1.73027,0.286632,1.35534,0.584133,0.286896,1.9554,0.250941,2.42318,17.2211,1.10451
29,100,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.41638,2.338,12.0727,-1.61525,1.29282,0.753544,1.78005,0.936369,2.28206,12.6433,1.31167,0.919576,0.955892,0.620822,3.0966,2.62051,0.222732,0.655355,2.2413,1.81326,3.08283,0.405647,6.09237,3.45493,1.73027,0.286632,1.35534,0.584133,0.286896,1.9554,0.250941,2.42318,17.2211,1.02278
30,100,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.41602,2.2682,12.0727,-1.6149,1.29282,0.753544,1.78041,0.936727,2.28206,12.6433,1.31167,0.919576,0.955892,0.620822,3.0966,2.62051,0.222732,0.655355,2.2413,1.81326,3.08283,0.405647,6.09237,3.45493,1.73027,0.286632,1.35534,0.584133,0.286896,1.9554,0.250941,2.42318,17.2211,0.954412
31,100,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.41363,2.20047,12.0727,-1.61251,1.29282,0.753544,1.7828,0.939118,2.28206,12.6433,1.31167,0.919576,0.955892,0.620822,3.0966,2.62051,0.222732,0.655355,2.2413,1.81326,3.08283,0.405647,6.09237,3.45493,1.73027,0.286632,1.35534,0.584133,0.286896,1.9554,0.250941,2.42318,17.2211,0.896254
32,100,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.40973,2.13455,12.0727,-1.60861,1.29282,0.753544,1.7867,0.943017,2.28206,12.6433,1.31167,0.919576,0.955892,0.620822,3.0966,2.62051,0.222732,0.655355,2.2413,1.81326,3.08283,0.405647,6.09237,3.45493,1.73027,0.286632,1.35534,0.584133,0.286896,1.9554,0.250941,2.42318,17.2211,0.845924
33,100,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.40472,2.0702,12.0727,-1.6036,1.29282,0.753544,1.7917,0.948026,2.28206,12.6433,1.31167,0.919576,0.955892,0.620822,3.0966,2.62051,0.222732,0.655355,2.2413,1.81326,3.08283,0.405647,6.09237,3.45493,1.73027,0.286632,1.35534,0.584133,0.286896,1.9554,0.250941,2.42318,17.2211,0.801616
34,100,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.3989,2.00728,12.0727,-1.59778,1.29282,0.753544,1.79752,0.953844,2.28206,12.6433,1.31167,0.919576,0.955892,0.620822,3.0966,2.62051,0.222732,0.655355,2.2413,1.81326,3.08283,0.405647,6.09237,3.45493,1.73027,0.286632,1.35534,0.584133,0.286896,1.9554,0.250941,2.42318,17.2211,0.76196
35,100,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.3925,1.94564,12.0727,-1.59138,1.29282,0.753544,1.80392,0.960244,2.28206,12.6433,1.31167,0.919576,0.955892,0.620822,3.0966,2.62051,0.222732,0.655355,2.2413,1.81326,3.08283,0.405647,6.09237,3.45493,1.73027,0.286632,1.35534,0.584133,0.286896,1.9554,0.250941,2.42318,17.2211,0.72592
36,100,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.38569,1.88518,12.0727,-1.58457,1.29282,0.753544,1.81073,0.967054,2.28206,12.6433,1.31167,0.919576,0.955892,0.620822,3.0966,2.62051,0.222732,0.655355,2.2413,1.81326,3.08283,0.405647,6.09237,3.45493,1.73027,0.286632,1.35534,0.584133,0.286896,1.9554,0.250941,2.42318,17.2211,0.692707
37,100,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.3786,1.82584,12.0727,-1.57748,1.29282,0.753544,1.81782,0.974146,2.28206,12.6433,1.31167,0.919576,0.955892,0.620822,3.0966,2.62051,0.222732,0.655355,2.2413,1.81326,3.08283,0.405647,6.09237,3.45493,1.73027,0.286632,1.35534,0.584133,0.286896,1.9554,0.250941,2.42318,17.2211,0.661725
38,100,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.37133,1.76753,12.0727,-1.5702,1.29282,0.753544,1.8251,0.981421,2.28206,12.6433,1.31167,0.919576,0.955892,0.620822,3.0966,2.62051,0.222732,0.655355,2.2413,1.81326,3.08283,0.405647,6.09237,3.45493,1.73027,0.286632,1.35534,0.584133,0.286896,1.9554,0.250941,2.42318,17.2211,0.63252
39,100,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.36394,1.71022,12.0727,-1.56282,1.29282,0.753544,1.83248,0.988805,2.28206,12.6433,1.31167,0.919576,0.955892,0.620822,3.0966,2.62051,0.222732,0.655355,2.2413,1.81326,3.08283,0.405647,6.09237,3.45493,1.73027,0.286632,1.35534,0.584133,0.286896,1.9554,0.250941,2.42318,17.2211,0.604748
40,100,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.3565,1.65386,12.0727,-1.55538,1.29282,0.753544,1.83992,0.996245,2.28206,12.6433,1.31167,0.919576,0.955892,0.620822,3.0966,2.62051,0.222732,0.655355,2.2413,1.81326,3.08283,0.405647,6.09237,3.45493,1.73027,0.286632,1.35534,0.584133,0.286896,1.9554,0.250941,2.42318,17.2211,0.578145
