Iteration,Input 0,Input 1,Input 2,Input 3,Input 4,Input 5,Input 6,Input 7,Input 8,Input 9,Input 10,Input 11,Input 12,Input 13,Input 14,Input 15,Input 16,Input 17,Input 18,Input 19,Input 20,Weight 0,Weight 1,Weight 2,Weight 3,Weight 4,Weight 5,Weight 6,Weight 7,Weight 8,Weight 9,Weight 10,Weight 11,Weight 12,Weight 13,Weight 14,Weight 15,Weight 16,Weight 17,Weight 18,Weight 19,Weight 20,Output Signal
28,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.409993,-1.15754,-0.199944,-0.038634,-0.581552,0.293144,0.072912,-0.13896,-0.198895,0.104323,1.02132,-1.54338,4.45308,-0.20449,-1.25237,0.565488,-0.781925,-0.918251,1.44267,-0.644174,0.406745,-1.59166
29,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.438168,-1.12937,-0.171769,-0.038634,-0.581552,0.293144,0.072912,-0.13896,-0.198895,0.104323,1.02132,-1.54338,4.45308,-0.20449,-1.25237,0.565488,-0.781925,-0.918251,1.44267,-0.615999,0.406745,-1.5176
30,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.462816,-1.10472,-0.147121,-0.0139864,-0.581552,0.293144,0.072912,-0.13896,-0.198895,0.104323,1.02132,-1.54338,4.45308,-0.20449,-1.25237,0.565488,-0.781925,-0.918251,1.44267,-0.591351,0.406745,-1.74882
31,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0.593712,-0.973822,-0.0162254,0.11691,-0.450656,0.42404,0.203808,-0.00806352,-0.198895,0.104323,1.02132,-1.54338,4.45308,-0.20449,-1.25237,0.565488,-0.781925,-0.918251,1.44267,-0.460455,0.406745,0.827793
32,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0.601912,-0.965622,-0.00802505,0.12511,-0.442456,0.42404,0.203808,-0.00806352,-0.198895,0.104323,1.02132,-1.53518,4.46128,-0.19629,-1.24417,0.573688,-0.781925,-0.918251,1.44267,-0.452255,0.406745,1.24337
33,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.495085,-1.07245,-0.00802505,0.12511,-0.442456,0.42404,0.203808,-0.00806352,-0.198895,0.104323,1.02132,-1.642,4.35445,-0.303117,-1.351,0.466861,-0.781925,-0.918251,1.44267,-0.559082,0.406745,-0.842032
34,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0.487563,-1.07997,-0.0155473,0.117588,-0.449978,0.416518,0.196286,-0.0155858,-0.198895,0.104323,1.02132,-1.642,4.35445,-0.303117,-1.351,0.466861,-0.781925,-0.918251,1.44267,-0.566604,0.406745,1.40503
35,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0.373038,-1.1945,-0.130073,0.0030626,-0.564503,0.301993,0.0817606,-0.130111,-0.31342,-0.0102022,1.02132,-1.75653,4.23993,-0.417642,-1.351,0.466861,-0.781925,-0.918251,1.44267,-0.68113,0.406745,-1.08246
36,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0.472202,-1.09533,-0.0309077,0.102227,-0.465339,0.401157,0.180925,-0.0309462,-0.214256,0.0889626,1.02132,-1.65736,4.33909,-0.318477,-1.25183,0.566026,-0.781925,-0.918251,1.44267,-0.581965,0.406745,0.504176
37,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0.450308,-1.11723,-0.052802,0.0803331,-0.487233,0.379263,0.159031,-0.0528405,-0.23615,0.0670683,1.02132,-1.67926,4.3172,-0.220921,-1.15428,0.663582,-0.781925,-0.918251,1.44267,-0.603859,0.406745,-3.16043
